n,Divide and Conquer,Dynamic Programming
17280050,1229,43
17290050,1228,40
17300050,1225,41
17310050,1245,41
17320050,1243,42
17330050,1236,40
17340050,1229,42
17350050,1253,42
17360050,1242,40
17370050,1229,42
17380050,1241,43
17390050,1242,40
17400050,1240,42
17410050,1258,41
17420050,1269,41
17430050,1237,42
17440050,1238,39
17450050,1235,40
17460050,1248,41
17470050,1262,41
17480050,1252,42
17490050,1255,42
17500050,1261,41
17510050,1247,43
17520050,1243,40
17530050,1267,41
17540050,1272,42
17550050,1265,41
17560050,1247,43
17570050,1253,41
17580050,1261,43
17590050,1260,41
17600050,1264,42
17610050,1258,42
17620050,1265,42
17630050,1271,42
17640050,1242,40
17650050,1293,44
17660050,1283,43
17670050,1262,44
17680050,1262,41
17690050,1255,45
17700050,1267,42
17710050,1277,41
17720050,1252,43
17730050,1266,41
17740050,1271,44
17750050,1271,44
17760050,1275,41
17770050,1262,41
17780050,1255,44
17790050,1275,42
17800050,1254,42
17810050,1261,41
17820050,1274,43
17830050,1281,41
17840050,1278,46
17850050,1286,42
17860050,1267,42
17870050,1275,44
17880050,1299,43
17890050,1279,44
17900050,1304,42
17910050,1291,41
17920050,1263,42
17930050,1277,45
17940050,1358,41
17950050,1361,47
17960050,1386,46
17970050,1431,44
17980050,1299,45
17990050,1351,45
18000050,1366,43
18010050,1372,51
18020050,1375,45
18030050,1410,44
18040050,1307,43
18050050,1286,42
18060050,1280,43
18070050,1294,44
18080050,1293,42
18090050,1296,44
18100050,1308,44
18110050,1286,43
18120050,1294,42
18130050,1282,42
18140050,1285,44
18150050,1374,43
18160050,1311,43
18170050,1321,48
18180050,1434,44
18190050,1475,45
18200050,1365,46
18210050,1376,44
18220050,1379,46
18230050,1357,47
18240050,1354,45
18250050,1395,45
18260050,1378,47
18270050,1426,45
18280050,1376,47
18290050,1353,41
18300050,1316,42
18310050,1308,44
18320050,1310,44
18330050,1293,46
18340050,1322,44
18350050,1301,43
18360050,1317,44
18370050,1320,43
18380050,1322,47
18390050,1324,43
18400050,1343,44
18410050,1294,43
18420050,1335,45
18430050,1327,44
18440050,1313,43
18450050,1288,45
18460050,1304,45
18470050,1309,44
18480050,1317,44
18490050,1332,44
18500050,1364,45
18510050,1330,42
18520050,1309,44
18530050,1319,45
18540050,1322,43
18550050,1314,45
18560050,1335,46
18570050,1354,43
18580050,1375,47
18590050,1350,43
18600050,1314,43
18610050,1322,44
18620050,1311,44
18630050,1310,43
18640050,1332,45
18650050,1399,46
18660050,1341,48
18670050,1404,50
18680050,1445,47
18690050,1451,45
18700050,1387,46
18710050,1396,44
18720050,1365,45
18730050,1350,44
18740050,1333,45
18750050,1329,45
18760050,1348,43
18770050,1354,44
18780050,1325,44
18790050,1326,44
18800050,1382,44
18810050,1320,45
18820050,1318,45
18830050,1332,44
18840050,1324,44
18850050,1314,45
18860050,1351,47
18870050,1383,43
18880050,1324,43
18890050,1344,47
18900050,1351,44
18910050,1369,45
18920050,1390,43
18930050,1372,46
18940050,1369,45
18950050,1341,50
18960050,1339,47
18970050,1343,46
18980050,1358,46
18990050,1377,47
19000050,1399,46
19010050,1387,45
19020050,1392,47
19030050,1376,47
19040050,1389,47
19050050,1362,45
19060050,1361,50
19070050,1357,45
19080050,1370,45
19090050,1344,46
19100050,1378,44
19110050,1364,45
19120050,1382,47
19130050,1358,45
19140050,1367,45
19150050,1369,49
19160050,1372,44
19170050,1355,45
19180050,1363,45
19190050,1349,45
19200050,1364,46
19210050,1433,52
19220050,1529,51
19230050,1486,46
19240050,1440,50
19250050,1461,53
19260050,1452,49
19270050,1482,50
19280050,1505,48
19290050,1439,48
19300050,1427,50
19310050,1426,52
19320050,1429,48
19330050,1446,51
19340050,1451,47
19350050,1457,46
19360050,1373,45
19370050,1369,47
19380050,1403,45
19390050,1453,50
19400050,1398,46
19410050,1386,48
19420050,1381,46
19430050,1403,45
19440050,1376,44
19450050,1399,46
19460050,1424,49
19470050,1392,47
19480050,1386,47
19490050,1397,47
19500050,1389,46
19510050,1389,46
19520050,1396,46
19530050,1395,46
19540050,1383,48
19550050,1390,46
19560050,1399,46
19570050,1400,46
19580050,1395,46
19590050,1395,46
19600050,1411,47
19610050,1388,51
19620050,1400,46
19630050,1386,47
19640050,1397,47
19650050,1414,48
19660050,1385,47
19670050,1419,48
19680050,1399,46
19690050,1415,47
19700050,1402,45
19710050,1399,47
19720050,1434,49
19730050,1395,47
19740050,1401,46
19750050,1411,46
19760050,1397,46
19770050,1400,45
19780050,1451,49
19790050,1408,48
19800050,1397,45
19810050,1396,47
19820050,1418,48
19830050,1469,48
19840050,1424,48
19850050,1416,47
19860050,1387,47
19870050,1415,46
19880050,1412,48
19890050,1456,47
19900050,1555,51
19910050,1501,48
19920050,1421,49
19930050,1419,48
19940050,1431,48
19950050,1442,66
19960050,1443,47
19970050,1418,50
19980050,1419,48
19990050,1419,47
20000050,1423,49
20010050,1422,48
20020050,1422,46
20030050,1415,48
20040050,1427,47
20050050,1438,48
20060050,1442,46
20070050,1425,48
20080050,1432,50
20090050,1424,47
20100050,1413,49
20110050,1432,52
20120050,1412,47
20130050,1420,47
20140050,1438,49
20150050,1428,48
20160050,1427,49
20170050,1427,49
20180050,1418,51
20190050,1420,50
20200050,1428,47
20210050,1441,47
20220050,1423,51
20230050,1439,49
20240050,1427,47
20250050,1440,51
20260050,1430,49
20270050,1429,48
20280050,1445,47
20290050,1437,48
20300050,1422,48
20310050,1430,49
20320050,1465,48
20330050,1519,51
20340050,1515,47
20350050,1509,50
20360050,1454,48
20370050,1549,48
20380050,1482,50
20390050,1535,52
20400050,1500,47
20410050,1451,48
20420050,1445,47
20430050,1447,49
20440050,1456,47
20450050,1463,49
20460050,1450,49
20470050,1456,49
20480050,1434,50
20490050,1430,49
20500050,1449,48
20510050,1457,49
20520050,1450,49
20530050,1441,48
20540050,1441,53
20550050,1424,48
20560050,1424,50
20570050,1433,51
20580050,1448,51
20590050,1447,50
20600050,1441,49
20610050,1444,49
20620050,1450,49
20630050,1440,50
20640050,1459,48
20650050,1445,49
20660050,1456,49
20670050,1467,51
20680050,1503,51
20690050,1534,50
20700050,1488,52
20710050,1490,53
20720050,1520,57
20730050,1568,53
20740050,1476,49
20750050,1475,49
20760050,1464,49
20770050,1451,50
20780050,1459,48
20790050,1478,49
20800050,1453,50
20810050,1477,50
20820050,1452,50
20830050,1448,49
20840050,1451,53
20850050,1459,50
20860050,1451,49
20870050,1554,49
20880050,1486,50
20890050,1468,49
20900050,1461,51
20910050,1462,50
20920050,1474,51
20930050,1467,51
20940050,1467,51
20950050,1461,48
20960050,1478,50
20970050,1456,49
20980050,1448,49
20990050,1439,49
21000050,1442,49
21010050,1444,53
21020050,1430,50
21030050,1442,50
21040050,1429,50
21050050,1464,49
21060050,1441,51
21070050,1439,49
21080050,1431,50
21090050,1496,49
21100050,1507,51
21110050,1478,56
21120050,1526,51
21130050,1493,51
21140050,1453,52
21150050,1452,49
21160050,1452,51
21170050,1475,50
21180050,1465,54
21190050,1453,50
21200050,1458,50
21210050,1453,49
21220050,1455,51
21230050,1453,51
21240050,1455,49
21250050,1454,51
21260050,1453,51
21270050,1460,50
21280050,1444,51
21290050,1456,51
21300050,1451,49
21310050,1462,52
21320050,1487,52
21330050,1464,50
21340050,1464,50
21350050,1524,96
21360050,1571,52
21370050,1490,60
21380050,1497,52
21390050,1516,51
21400050,1552,53
21410050,1600,51
21420050,1508,55
21430050,1513,51
21440050,1497,55
21450050,1490,52
21460050,1482,53
21470050,1508,51
21480050,1502,52
21490050,1485,49
21500050,1509,55
21510050,1486,54
21520050,1529,52
21530050,1536,52
21540050,1562,51
21550050,1507,55
21560050,1509,50
21570050,1504,52
21580050,1500,52
21590050,1496,52
21600050,1492,52
21610050,1498,52
21620050,1551,51
21630050,1496,51
21640050,1510,52
21650050,1504,56
21660050,1498,49
21670050,1514,52
21680050,1504,52
21690050,1510,50
21700050,1495,51
21710050,1509,53
21720050,1555,54
21730050,1544,51
21740050,1564,50
21750050,1542,51
21760050,1545,52
21770050,1556,57
21780050,1542,53
21790050,1524,56
21800050,1550,53
21810050,1567,51
21820050,1553,51
21830050,1527,52
21840050,1555,54
21850050,1535,51
21860050,1524,51
21870050,1538,53
21880050,1532,51
21890050,1516,51
21900050,1528,52
21910050,1537,58
21920050,1520,52
21930050,1539,52
21940050,1521,54
21950050,1527,53
21960050,1518,51
21970050,1529,52
21980050,1562,54
21990050,1532,51
22000050,1530,51
22010050,1518,51
22020050,1527,51
22030050,1520,51
22040050,1529,52
22050050,1529,51
22060050,1537,52
22070050,1548,55
22080050,1555,53
22090050,1545,54
22100050,1697,58
22110050,1699,57
22120050,1705,55
22130050,1658,63
22140050,1612,53
22150050,1595,55
22160050,1573,52
22170050,1541,51
22180050,1623,56
22190050,1575,54
22200050,1610,54
22210050,1621,64
22220050,1584,54
22230050,1592,58
22240050,1598,53
22250050,1548,55
22260050,1625,58
22270050,1579,56
22280050,1585,59
22290050,1576,54
22300050,1567,55
22310050,1574,53
22320050,1576,53
22330050,1560,54
22340050,1579,54
22350050,1556,53
22360050,1583,59
22370050,1592,54
22380050,1611,55
22390050,1591,59
22400050,1597,57
22410050,1560,54
22420050,1586,53
22430050,1558,52
22440050,1578,53
22450050,1594,53
22460050,1556,53
22470050,1572,54
22480050,1589,55
22490050,1558,53
22500050,1568,55
22510050,1574,55
22520050,1616,59
22530050,1693,57
22540050,1726,61
22550050,1849,63
22560050,1665,56
22570050,1612,56
22580050,1591,53
22590050,1601,55
22600050,1617,54
22610050,1624,56
22620050,1591,53
22630050,1576,55
22640050,1599,53
22650050,1599,54
22660050,1661,59
22670050,1719,54
22680050,1598,55
22690050,1599,57
22700050,1582,55
22710050,1564,53
22720050,1571,53
22730050,1627,53
22740050,1579,54
22750050,1590,54
22760050,1626,64
22770050,1653,55
22780050,1787,63
22790050,1767,56
22800050,1833,62
22810050,1729,59
22820050,1718,57
22830050,1697,61
22840050,1713,61
22850050,1660,57
22860050,1657,63
22870050,1648,59
22880050,1634,55
22890050,1618,55
22900050,1580,55
22910050,1588,54
22920050,1579,55
22930050,1575,54
22940050,1580,54
22950050,1583,56
22960050,1651,54
22970050,1634,57
22980050,1663,56
22990050,1664,59
23000050,1650,57
23010050,1670,58
23020050,1676,55
23030050,1669,58
23040050,1653,57
23050050,1645,59
23060050,1678,57
23070050,1663,55
23080050,1664,57
23090050,1667,55
23100050,1629,56
23110050,1609,62
23120050,1609,60
23130050,1587,56
23140050,1621,56
23150050,1619,57
23160050,1607,54
23170050,1650,65
23180050,1632,55
23190050,1636,55
23200050,1621,58
23210050,1647,54
23220050,1650,59
23230050,1740,59
23240050,1595,54
23250050,1591,56
23260050,1596,58
23270050,1614,54
23280050,1587,59
23290050,1574,54
23300050,1586,55
23310050,1575,56
23320050,1600,54
23330050,1599,56
23340050,1618,59
23350050,1610,57
23360050,1645,54
23370050,1577,55
23380050,1604,56
23390050,1582,68
23400050,1593,56
23410050,1613,55
23420050,1598,56
23430050,1591,54
23440050,1637,57
23450050,1609,54
23460050,1629,55
23470050,1641,58
23480050,1604,56
23490050,1586,55
23500050,1606,56
23510050,1607,55
23520050,1593,55
23530050,1616,56
23540050,1602,57
23550050,1605,61
23560050,1587,57
23570050,1643,56
23580050,1628,59
23590050,1650,55
23600050,1614,56
23610050,1596,56
23620050,1644,56
23630050,1631,55
23640050,1625,55
23650050,1649,57
23660050,1619,55
23670050,1637,59
23680050,1666,59
23690050,1667,58
23700050,1677,56
23710050,1712,56
23720050,1719,58
23730050,1646,57
23740050,1633,56
23750050,1616,55
23760050,1620,59
23770050,1662,55
23780050,1639,58
23790050,1661,55
23800050,1664,55
23810050,1759,56
23820050,1737,56
23830050,1656,56
23840050,1652,60
23850050,1702,58
23860050,1628,56
23870050,1631,60
23880050,1649,60
23890050,1825,63
23900050,1888,62
23910050,1818,60
23920050,1737,62
23930050,1827,62
23940050,1801,63
23950050,1797,62
23960050,1765,62
23970050,1818,62
23980050,1753,60
23990050,1837,59
24000050,1745,73
24010050,1792,58
24020050,1641,62
24030050,1658,57
24040050,1652,56
24050050,1655,56
24060050,1655,60
24070050,1643,59
24080050,1643,56
24090050,1632,55
24100050,1630,63
24110050,1636,58
24120050,1626,55
24130050,1651,59
24140050,1663,55
24150050,1636,55
24160050,1646,56
24170050,1651,61
24180050,1648,56
24190050,1639,56
24200050,1669,57
24210050,1677,57
24220050,1660,58
24230050,1662,58
24240050,1666,57
24250050,1674,61
24260050,1688,63
24270050,1677,57
24280050,1693,58
24290050,1714,58
24300050,1722,58
24310050,1712,59
24320050,1731,60
24330050,1786,65
24340050,1763,57
24350050,1824,62
24360050,1806,65
24370050,1810,65
24380050,1947,64
24390050,1825,57
24400050,1765,59
24410050,1719,62
24420050,1744,61
24430050,1710,60
24440050,1776,59
24450050,1878,65
24460050,1898,64
24470050,1770,59
24480050,1747,63
24490050,1815,77
24500050,2127,61
24510050,1750,62
24520050,1734,63
24530050,1754,61
24540050,1817,68
24550050,2138,61
24560050,1761,64
24570050,1775,63
24580050,1784,62
24590050,1875,75
24600050,2113,58
24610050,1789,64
24620050,1881,64
24630050,1819,64
24640050,1832,73
24650050,2142,58
24660050,1767,60
24670050,1812,63
24680050,1757,67
24690050,1833,66
24700050,1800,69
24710050,1726,65
24720050,2012,61
24730050,1736,59
24740050,1748,62
24750050,1762,60
24760050,1742,61
24770050,1746,58
24780050,2036,60
24790050,1726,61
24800050,1735,63
24810050,1747,60
24820050,1756,60
24830050,1762,58
24840050,1966,83
24850050,1768,60
24860050,1740,60
24870050,1746,58
24880050,1749,61
24890050,1736,63
24900050,1963,76
24910050,1817,61
24920050,1720,63
24930050,1728,60
24940050,1753,61
24950050,1730,60
24960050,1911,74
24970050,1933,65
24980050,1744,61
24990050,1937,66
25000050,1830,70
25010050,1954,69
25020050,2062,83
25030050,1874,62
25040050,1849,63
25050050,1835,65
25060050,1843,67
25070050,1840,63
25080050,2083,69
25090050,1866,66
25100050,1852,65
25110050,1803,63
25120050,1832,61
25130050,1888,63
25140050,2047,61
25150050,1887,68
25160050,1827,65
25170050,1867,67
25180050,1842,66
25190050,1863,64
25200050,2256,69
25210050,1973,69
25220050,1934,71
25230050,1837,64
25240050,1903,70
25250050,2314,66
25260050,1911,63
25270050,1829,66
25280050,2042,68
25290050,1903,64
25300050,2042,89
25310050,2076,66
25320050,1828,64
25330050,2006,71
25340050,1961,67
25350050,1868,67
25360050,2094,84
25370050,1979,65
25380050,1927,65
25390050,1894,64
25400050,1843,68
25410050,1791,66
25420050,2185,66
25430050,1862,62
25440050,1898,68
25450050,1817,65
25460050,1783,63
25470050,1831,61
25480050,2212,72
25490050,2051,71
25500050,1799,67
25510050,1921,63
25520050,1867,68
25530050,1840,82
25540050,2071,66
25550050,1808,62
25560050,1788,61
25570050,1777,67
25580050,1791,61
25590050,1894,82
25600050,1851,60
25610050,1797,62
25620050,1759,62
25630050,1771,60
25640050,1767,60
25650050,1801,80
25660050,1949,63
25670050,1746,61
25680050,1761,63
25690050,1761,62
25700050,1765,62
25710050,1797,80
25720050,1978,62
25730050,1780,64
25740050,1762,62
25750050,1792,64
25760050,1779,63
25770050,1797,79
25780050,2015,60
25790050,1808,62
25800050,1785,61
25810050,1785,60
25820050,1774,61
25830050,1774,79
25840050,1975,60
25850050,1865,69
25860050,2034,68
25870050,1850,62
25880050,1779,62
25890050,1946,77
25900050,1874,62
25910050,1807,62
25920050,1806,63
25930050,1784,65
25940050,1789,63
25950050,1936,78
25960050,1872,63
25970050,1838,72
25980050,2024,64
25990050,1908,64
26000050,1870,68
26010050,2158,67
26020050,1908,64
26030050,1926,68
26040050,1903,63
26050050,1842,61
26060050,1818,62
26070050,2123,62
26080050,2018,77
26090050,1910,62
26100050,1864,65
26110050,1849,68
26120050,1897,64
26130050,2034,66
26140050,1879,65
26150050,1821,67
26160050,1818,62
26170050,1854,62
26180050,1837,79
26190050,1937,62
26200050,1898,62
26210050,1891,65
26220050,1902,67
26230050,1937,65
26240050,2130,69
26250050,1887,72
26260050,1784,61
26270050,1808,66
26280050,2011,67
26290050,1915,63
26300050,2230,69
26310050,1972,66
26320050,1962,66
26330050,1961,69
26340050,1982,70
26350050,2120,86
26360050,1959,67
26370050,1848,63
26380050,1888,65
26390050,1844,66
26400050,1842,66
26410050,1997,65
26420050,1839,66
26430050,1821,62
26440050,1861,63
26450050,1824,63
26460050,1974,82
26470050,1903,63
26480050,1842,67
26490050,1867,73
26500050,1832,64
26510050,1826,65
26520050,2005,65
26530050,1862,62
26540050,1829,64
26550050,1883,63
26560050,1842,62
26570050,1888,64
26580050,2127,73
26590050,1908,65
26600050,1872,62
26610050,1911,67
26620050,1813,64
26630050,1893,79
26640050,1976,63
26650050,1849,64
26660050,1844,67
26670050,1859,66
26680050,1847,62
26690050,1943,77
26700050,1863,63
26710050,1823,64
26720050,1862,67
26730050,1824,62
26740050,1829,66
26750050,1844,77
26760050,1834,65
26770050,1812,64
26780050,1798,63
26790050,1815,62
26800050,2420,79
26810050,2292,71
26820050,2071,74
26830050,2427,86
26840050,2332,72
26850050,2174,72
26860050,2024,70
26870050,1983,75
26880050,1995,67
26890050,1910,63
26900050,1921,66
26910050,1893,70
26920050,1904,65
26930050,2266,102
26940050,1888,67
26950050,1809,63
26960050,1820,64
26970050,1820,65
26980050,1850,64
26990050,1822,65
27000050,1818,63
27010050,1825,64
27020050,1821,67
27030050,1854,64
27040050,1859,62
27050050,1871,66
27060050,1819,64
27070050,1786,64
27080050,1799,64
27090050,1804,63
27100050,1822,63
27110050,1822,64
27120050,1794,64
27130050,1805,67
27140050,1874,66
27150050,1831,63
27160050,1834,63
27170050,1816,65
27180050,1828,63
27190050,1809,67
27200050,1826,64
27210050,1831,63
27220050,1806,62
27230050,1808,63
27240050,1832,63
27250050,1810,64
27260050,1829,65
27270050,1829,64
27280050,1805,64
27290050,1818,63
27300050,1823,64
27310050,1810,65
27320050,1841,63
27330050,1875,64
27340050,1841,64
27350050,1831,67
27360050,1835,64
27370050,1852,64
27380050,1844,65
27390050,1844,66
27400050,1864,68
27410050,1839,67
27420050,1846,63
27430050,1897,67
27440050,1911,66
27450050,1914,65
27460050,1880,66
27470050,1869,69
27480050,1881,65
27490050,1837,64
27500050,1839,66
27510050,1839,66
27520050,1829,64
27530050,1843,66
27540050,1826,64
27550050,1851,65
27560050,1839,65
27570050,1832,67
27580050,1857,65
27590050,1837,65
27600050,1851,65
27610050,1857,67
27620050,1838,65
27630050,1855,65
27640050,1956,68
27650050,1909,67
27660050,1866,68
27670050,1949,70
27680050,1874,64
27690050,2045,76
27700050,1956,67
27710050,2110,77
27720050,2037,69
27730050,1942,65
27740050,2084,76
27750050,2010,65
27760050,1916,70
27770050,2102,74
27780050,1970,68
27790050,1943,67
27800050,1934,72
27810050,2006,69
27820050,1969,69
