n,Divide and Conquer,Dynamic Programming
4100050,243,9
4110050,250,8
4120050,250,13
4130050,248,9
4140050,250,9
4150050,253,10
4160050,245,9
4170050,247,9
4180050,247,10
4190050,246,10
4200050,275,10
4210050,278,10
4220050,279,9
4230050,282,9
4240050,278,9
4250050,288,9
4260050,279,9
4270050,284,9
4280050,291,9
4290050,296,9
4300050,283,10
4310050,287,9
4320050,280,11
4330050,292,12
4340050,291,9
4350050,289,11
4360050,289,9
4370050,291,10
4380050,287,10
4390050,295,10
4400050,293,11
4410050,294,9
4420050,299,11
4430050,302,10
4440050,301,10
4450050,297,10
4460050,290,9
4470050,302,10
4480050,296,10
4490050,308,10
4500050,299,9
4510050,300,10
4520050,299,11
4530050,300,10
4540050,298,11
4550050,305,10
4560050,305,9
4570050,304,11
4580050,302,11
4590050,301,12
4600050,301,10
4610050,308,11
4620050,318,11
4630050,303,12
4640050,317,11
4650050,314,11
4660050,309,11
4670050,309,12
4680050,314,10
4690050,311,10
4700050,310,12
4710050,316,10
4720050,313,12
4730050,314,11
4740050,312,11
4750050,310,11
4760050,314,11
4770050,319,11
4780050,308,10
4790050,311,11
4800050,321,10
4810050,322,10
4820050,326,13
4830050,320,10
4840050,320,11
4850050,322,10
4860050,322,10
4870050,322,12
4880050,322,11
4890050,331,10
4900050,327,11
4910050,339,12
4920050,326,10
4930050,323,12
4940050,321,12
4950050,328,12
4960050,328,11
4970050,327,12
4980050,328,12
4990050,330,12
5000050,327,11
5010050,331,12
5020050,330,11
5030050,333,12
5040050,326,11
5050050,337,11
5060050,329,11
5070050,342,14
5080050,341,11
5090050,336,12
5100050,348,14
5110050,335,11
5120050,338,11
5130050,335,13
5140050,333,12
5150050,335,12
5160050,333,12
5170050,339,11
5180050,335,12
5190050,339,13
5200050,334,12
5210050,337,11
5220050,346,12
5230050,337,12
5240050,344,12
5250050,338,14
5260050,333,14
5270050,333,11
5280050,336,13
5290050,339,12
5300050,337,12
5310050,334,12
5320050,341,13
5330050,339,11
5340050,339,11
5350050,349,13
5360050,347,11
5370050,340,12
5380050,358,12
5390050,346,12
5400050,343,12
5410050,342,13
5420050,342,13
5430050,342,13
5440050,344,12
5450050,345,12
5460050,354,13
5470050,351,13
5480050,358,12
5490050,349,14
5500050,361,11
5510050,357,12
5520050,372,12
5530050,360,12
5540050,361,12
5550050,357,12
5560050,361,13
5570050,357,12
5580050,356,13
5590050,357,13
5600050,360,13
5610050,363,12
5620050,366,13
5630050,365,13
5640050,368,12
5650050,359,12
5660050,361,13
5670050,357,12
5680050,361,13
5690050,363,12
5700050,367,13
5710050,362,13
5720050,369,13
5730050,364,13
5740050,384,13
5750050,371,14
5760050,375,13
5770050,365,14
5780050,375,13
5790050,377,13
5800050,379,13
5810050,371,12
5820050,369,14
5830050,371,13
5840050,373,15
5850050,376,14
5860050,372,14
5870050,372,14
5880050,384,13
5890050,381,14
5900050,377,15
5910050,383,14
5920050,380,14
5930050,378,13
5940050,377,14
5950050,379,14
5960050,376,13
5970050,381,14
5980050,381,14
5990050,390,14
6000050,382,13
6010050,381,15
6020050,379,14
6030050,390,14
6040050,383,14
6050050,385,13
6060050,385,15
6070050,383,13
6080050,386,13
6090050,394,14
6100050,387,15
6110050,389,14
6120050,392,15
6130050,391,13
6140050,397,16
6150050,392,14
6160050,392,15
6170050,397,16
6180050,392,15
6190050,395,13
6200050,396,14
6210050,398,14
6220050,392,14
6230050,395,15
6240050,395,14
6250050,398,14
6260050,400,17
6270050,401,17
6280050,393,14
6290050,391,17
6300050,393,13
6310050,396,15
6320050,396,14
6330050,394,14
6340050,393,15
6350050,396,15
6360050,393,14
6370050,406,14
6380050,401,16
6390050,405,15
6400050,407,15
6410050,404,14
6420050,406,14
6430050,404,14
6440050,405,16
6450050,406,15
6460050,405,15
6470050,408,15
6480050,412,15
6490050,408,15
6500050,411,15
6510050,416,14
6520050,413,15
6530050,421,14
6540050,415,18
6550050,408,14
6560050,414,16
6570050,417,15
6580050,419,16
6590050,418,15
6600050,420,15
6610050,423,17
6620050,422,15
6630050,422,15
6640050,427,18
6650050,439,16
6660050,430,15
6670050,420,15
6680050,423,14
6690050,426,16
6700050,429,15
6710050,429,15
6720050,429,14
6730050,432,16
6740050,423,16
6750050,432,15
6760050,440,16
6770050,435,16
6780050,428,17
6790050,425,15
6800050,428,16
6810050,436,16
6820050,430,17
6830050,436,15
6840050,430,18
6850050,435,16
6860050,431,16
6870050,430,17
6880050,429,17
6890050,431,15
6900050,431,15
6910050,433,16
6920050,431,15
6930050,442,15
6940050,452,16
6950050,436,16
6960050,435,16
6970050,436,18
6980050,437,16
6990050,442,16
7000050,441,16
7010050,436,16
7020050,441,16
7030050,444,16
7040050,448,15
7050050,448,18
7060050,437,17
7070050,448,17
7080050,444,16
7090050,446,16
7100050,446,17
7110050,448,17
7120050,450,17
7130050,451,17
7140050,451,16
7150050,449,17
7160050,448,17
7170050,450,15
7180050,455,15
7190050,449,15
7200050,454,15
7210050,455,17
7220050,448,17
7230050,453,16
7240050,452,16
7250050,455,17
7260050,467,16
7270050,463,19
7280050,461,16
